Id	Day	Question	Answer
Q47	L12	How did you first become interested in jogging? How has your interest changed over the years?	_
Q48	L12	When did you first become interested in music? What kinds of music did you like first? Tell me how has your interest in music developed from your childhood until today.	_
Q49	L12	How did you first start cooking? What kind of food did you cook? Why did you cook it?	_
Q50	L12	What was the reason you first started to go to cafes? Do you remember your first visit to a cafe? Please tell me the full story of the day you went to the cafe for the first time.	_
Q51	L13	Have you had any memorable experiences at a park? Who did you go with? What happened there? Please tell me about everything you remember that day in as much detail as possible.	_
Q52	L13	Tell me about a memorable experience you had while you were jogging. What happened? Why was it so memorable? First, give me the background of what happened and then describe it in detail.	_
Q53	L13	Please tell me about one of the unexpected or interesting events that you've experienced when you were cooking. What happened? Tell me about your experience with details, including what kind of food you cooked and how did the food turn out.	_
Q54	L13	Have you ever experienced a funny or interesting incident while you were at the beach? Tell me about the experience you had that was unforgettable in detail. Why was the experience so memorable?	_
Q55	L13	Tell me about one of the traveling experience you had that was unforgettable. Start by telling me when this happened, where you were, and who you were with. Then tell me all the things that made that experience so unforgettable.	_
Q56	L13	Tell me about one episode you've experienced while you were at a cafe or coffee shop. When was it? Who were you with? What happened? Can you also tell me why it was so memorable to you?	_
Q57	L13	Tell me about one episode you've experienced while you were at a bar or a pub. When was it? Who were you with? What happened? Can you also tell me why it was so memorable to you?	_
Q58	L14	You indicated that you are currently working. Tell me about your company. What kind of products or services does it offer? What is your impression of the company?	_
Q59	L14	You indicated that you are currently working. Which department do you work in? What are your responsibilities during working hours? Tell me all about your duties in detail.	_
Q60	L15	Tell me about a project you worked on recently. What was your responsibility? Give me a detailed description of your recent project.	(시기, 종류, 동료) Two weeks ago, I finished a project with my co-workers. (프로젝트 설명) It was about developing a new smartphone called galaxy s7. (과정 1) For the project, first we had to plan a concept and set up the schedules. (과정 2) Than, we searched for information about market needs. (과정 3) After that, we analyzed the information and designed a new smartphone. (과정 4) Finally, we reported our project to our boss. (프로젝트 결과) The result was successful. Later, we were able to launch the smartphones on the market. (느낌 및 생각) Overall, we were satisfied with our project.
Q61	L15	Have you ever had a problem when you carried out a certain project at work? What was the problem and how did you resolve the problem?	(시기, 종류, 동료) Two weeks ago, I finished a project with my co-workers. (프로젝트 설명) The project was developing a new smartphone. (프로젝트 어려움) While working on the project, we had some problems because of our boss. (부연 설명, 원인) For example, he had different opinions form ours, and he didn't make a quick decision. (해결 과정) To solve the problems, we tried to have a lot of discussion through mettings. (결과) As a result, he accepted our opinions and made a quick decision. (배운 점) From this experience, I learned that communication was very important.
Q62	L15	When do you usually have lunch at work? Who do you usually eat and where do you go for lunch? What do you eat for lunch? Tell me about your lunchtime in as much detail as possible. 	_
Q63	L15	Tell me about your typical day at work. When do you start your day at work? What do you normally do as soon as you arrive at work? What do you do after? Tell me about your normal routine at work from beginning to end in detail.	_
